"","month_start_date","month_end_date","monthly_vol_1n","monthly_vol_rp","monthly_vol_mv","monthly_r_1n","monthly_r_rp","monthly_r_mv","monthly_days_in_month","sharpe_ratio_1n","sharpe_ratio_rp","sharpe_ratio_mv"
"1",2001-01-02,2001-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2001-02-01,2001-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2001-03-01,2001-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2001-04-02,2001-04-30,0.00915873934921053,0.00309346585706503,0.00194703526588674,0.0542507932546849,0.0173847560776308,-0.00103208130368697,19,1.35891906877517,1.28927770920814,-0.121608321044764
"5",2001-05-01,2001-05-31,0.0063501106484442,0.00322091128996934,0.00177724092324758,0.00134883004982629,0.00443399992661216,0.0124075568617233,21,0.0463517667730902,0.300405078620175,1.52345742545744
"6",2001-06-01,2001-06-29,0.00447111415374091,0.00192963059196399,0.00198546668863846,-0.0225205279183281,-0.00957581578655895,-0.016439168520875,21,-1.09914037538642,-1.08290899145861,-1.80678965423455
"7",2001-07-02,2001-07-31,0.00549946120877042,0.002071702589958,0.00122739958677017,-0.00594564549237041,0.00624278228461805,0.0103461730836737,21,-0.235922423339776,0.65756870023491,1.83943361776481
"8",2001-08-01,2001-08-31,0.00526473372071715,0.00181124712015624,0.000737844307959495,-0.0201788228103475,-0.000304204745456228,0.00848753825322657,22,-0.817161836969977,-0.0358077420404396,2.45248112123796
"9",2001-09-04,2001-09-28,0.021903395735812,0.00940261234226537,0.00789418052121604,-0.062953428441688,-0.0282721401901215,-0.0273026078214651,11,-0.866585851991854,-0.906596028052433,-1.04279930926399
"10",2001-10-01,2001-10-31,0.00699236008122754,0.00279750102503445,0.00173887023181681,-0.00841664322106908,-0.0109920624729501,0.000880506770801371,22,-0.256627854286145,-0.837717510194556,0.107957840013558
"11",2001-11-01,2001-11-30,0.00618393909326493,0.00361770989315684,0.00316451377332458,0.0274272195031857,-0.00187082473190584,-0.00655753515390423,19,1.01751255881633,-0.118637657935268,-0.475397437797987
"12",2001-12-03,2001-12-28,0.00690886240259295,0.00347749537613619,0.0023885582510127,0.0178320611188115,0.0111025035335671,0.00299724091241642,17,0.625994532401437,0.774336797817305,0.30434162439588
"13",2002-01-02,2002-01-31,0.00667289589717813,0.00243595069864913,0.00140026248463924,-0.0285439674784806,-0.00885566488113415,0.000448876934237054,21,-0.933448454478796,-0.793310188120688,0.0699532970706179
"14",2002-02-01,2002-02-28,0.00678185295425487,0.00302213440138202,0.00171423074369712,0.00559469028870086,0.00421328031728043,-0.000616916181085565,19,0.189256533136059,0.319837792637303,-0.0825619765254752
"15",2002-03-01,2002-03-28,0.00541721420289466,0.00224092449359816,0.00133580258681149,0.0432208717593746,0.0154916129747043,0.0209586333966206,20,1.7840314907452,1.54580396579699,3.50837237875139
"16",2002-04-02,2002-04-30,0.00676291063931841,0.00233546150596045,0.000773787967593713,-0.029163558174677,-0.000469464093522625,0.0139553228308411,21,-0.941016446329095,-0.0438651905709444,3.93557567866871
"17",2002-05-01,2002-05-31,0.007661370908497,0.00180391568107129,0.000854591558254178,0.000903681249713491,0.00830161753221766,0.0024354434837705,21,0.025739442472312,1.00423843666065,0.621884611056882
"18",2002-06-05,2002-06-28,0.00732214438243704,0.00261881072031136,0.00526993646564559,-0.0357332375651057,-0.0318877175937636,-0.0528725421257145,18,-1.15026478930782,-2.87000777009586,-2.36476810927954
"19",2002-07-01,2002-07-31,0.0128319955851887,0.00318842582161562,0.00185118683085518,-0.0529355607066494,-0.0126812921134981,-0.00520822505023381,21,-0.900209659454496,-0.867915694231726,-0.613945531262899
"20",2002-08-01,2002-08-30,0.0108014808292658,0.00261206775542924,0.0020610398761935,0.0168627030583124,0.0215659966174075,0.0184535508599858,21,0.340670278753905,1.80167083066873,1.95381709133444
"21",2002-09-03,2002-09-30,0.00996360709522059,0.00226099942237703,0.00137940230395065,-0.045878112602282,0.00144360818701802,0.00402355732109701,20,-1.02961284480298,0.142768989991774,0.652235222137323
"22",2002-10-01,2002-10-31,0.0115147485538838,0.00221654250431259,0.00179019243796605,0.0293239822352546,-0.00257357992008331,-0.00458931290995414,22,0.542946638365525,-0.247542775061893,-0.546558447701827
"23",2002-11-01,2002-11-27,0.00832605639239549,0.00178221296155776,0.00122348595539257,0.0302680834736129,0.00852905765254556,0.0117041475427863,18,0.856858920519288,1.12798987052115,2.25478193654639
"24",2002-12-02,2002-12-31,0.00655357691181922,0.00181986519992241,0.00120427711594617,-0.000723557764433613,0.02518854794547,0.0184108261626079,20,-0.0246876533027857,3.09491634122049,3.41847057262882
"25",2003-01-02,2003-01-31,0.00822242014431245,0.00177438448919103,0.00156806944599544,0.00286851424162511,0.0064936552976716,0.00462253762113972,21,0.0761285746693829,0.798604681008974,0.643288095305791
"26",2003-02-03,2003-02-28,0.0046392456767857,0.00192621549716984,0.00156747874564644,-0.00683612531507381,0.00641289563322263,0.0101263122467805,18,-0.347317279870008,0.784716974114257,1.52269668259689
"27",2003-03-03,2003-03-31,0.00609465498334809,0.00208464391477493,0.00168223721153167,-0.0209699900235715,-0.0077375256398731,-0.000532629114374793,21,-0.750826255746433,-0.809954404593025,-0.0690920405400535
"28",2003-04-01,2003-04-30,0.005727036643665,0.00252689400955534,0.00155121749692501,0.0282382939074498,0.0200873248354408,0.0199415085344718,20,1.1025378162286,1.77754285095913,2.87455297180204
