,feature-month_end_date,target-month_start_date,feat1_0,feat1_1,feat1_2,feat1_3,feat1_4,feat1_5,feat1_6,feat1_7,feat1_8,feat1_9,feat2_0.3,feat2_0.4,feat2_0.5,feat2_0.6,feat2_0.7,feat2_0.8,feat2_0.9,feat3_eq_0,feat3_eq_1,feat3_bd_0,feat3_bd_1,feat3_com_0,feat3_com_1
0,2001-03-30,2001-04-02,0.41681608132213444,0.1519649390537533,0.1453067470657617,0.06205186477582568,0.05354256402390233,0.03532412374822222,0.02369712554937358,0.02203277850368839,0.016979009117737174,0.014783730773788575,1,1,2,3,3,5,8,0.5554828765874261,0.20285763927946443,0.7746154992357378,0.20952594182088846,0.582855935309465,0.19376103970332773
1,2001-04-30,2001-05-01,0.48011189269635157,0.17031754818627196,0.10925084183132536,0.06378786378580541,0.034040836121197314,0.024338561356027615,0.023633067650727282,0.01798138397276201,0.01638207297094136,0.012958747185466607,1,1,2,2,3,4,7,0.6292018090121699,0.19344169528009414,0.853708529047869,0.12425799600880812,0.5609206791487571,0.2500339429420919
2,2001-05-31,2001-06-01,0.4863492268425487,0.16523843075481262,0.08599489208025766,0.06913168324350234,0.03222446522082235,0.028609513547998462,0.026519910369334442,0.02146941614333388,0.01971515466307843,0.015429369488700958,1,1,2,2,3,4,8,0.6432721597415991,0.183716816285066,0.8666754402538673,0.11992517074047758,0.46238508192185007,0.2583804330707343
3,2001-06-29,2001-07-02,0.433256102912379,0.18683761368553173,0.07853776046930444,0.06916078449896075,0.044620099025697295,0.03768813810293305,0.030821555791733655,0.02504637449731927,0.02060658970947179,0.015921123253325245,1,1,2,2,4,5,8,0.6375324912533015,0.14283241360489307,0.8201129727621952,0.16653819767336003,0.49296291930505864,0.22563954936305475
4,2001-07-31,2001-08-01,0.32221036967312927,0.18852350133882392,0.1337543901459763,0.08617916057752227,0.06857751174048392,0.048018372750700006,0.03281058869711785,0.024243473065631387,0.02019531908376751,0.01554569690472832,1,2,2,3,4,6,8,0.5615783232593992,0.14446342743173154,0.7861130000913491,0.20374874724590603,0.3981782010716859,0.2875093220502951
5,2001-08-31,2001-09-04,0.32689591440034454,0.20448391397510493,0.1320920787382681,0.08478189792259441,0.06064314377523269,0.042297576664975134,0.03319544082666568,0.021644291993882413,0.01812591291589796,0.013802310119985721,1,2,2,3,4,5,8,0.5896067483524711,0.12118970838933459,0.7315314896521264,0.25665808718273186,0.42039673808979705,0.28471805995526167
6,2001-09-28,2001-10-01,0.5906290695689441,0.1937357493302893,0.051148725601431334,0.04550055972494609,0.025934692489443134,0.02127775073354485,0.018459699320767436,0.013547777637757387,0.008576546475042711,0.008061738041197376,1,1,1,2,2,3,5,0.81541025984157,0.06496740033241001,0.7771021162345968,0.21952808773826368,0.5827583731454146,0.21933257109046253
7,2001-10-31,2001-11-01,0.6194058589766961,0.18741696555202625,0.04327083283579581,0.0378657831177665,0.022013409674532882,0.02081684213825087,0.015112741762560562,0.011229172644766122,0.009539384273699396,0.006928597664186104,1,1,1,1,2,2,5,0.8204502244521081,0.05887539337133505,0.7614153245930055,0.23302104269779841,0.642164999340041,0.19974392473373626
8,2001-11-30,2001-12-03,0.5557545721923993,0.270577164218197,0.04215743947126874,0.030560238855916768,0.01878128264156502,0.016948061338111265,0.015428628800515052,0.011139217376882614,0.009234418884241681,0.006246234695118767,1,1,1,2,2,2,5,0.8086911504670514,0.06982047555713303,0.6095111067637425,0.3840032882033299,0.7047216855363152,0.16991924196740876
9,2001-12-28,2002-01-02,0.39355247127386167,0.297628725482845,0.0681701889203544,0.049869039066770315,0.03529966628989876,0.028686045427167052,0.026849535445874814,0.020905495424683212,0.017841031173211546,0.012887231002336356,1,2,2,2,3,4,7,0.5981603340049075,0.15737589927465154,0.9069976573887296,0.07847178332272695,0.7123076585169339,0.12900761847563452
10,2002-01-31,2002-02-01,0.4523219118961224,0.2333254971853214,0.08482527814233067,0.0529789751552763,0.03429202336741432,0.02664135984336895,0.022166650135817954,0.016180701989449122,0.015707244399575073,0.014593223790604806,1,1,2,2,3,4,7,0.5724832001397783,0.15529346876124542,0.9226857253369793,0.06425196228709848,0.7141429807703306,0.14496400286122746
