,feat1_0,feat1_1,feat1_2,feat1_3,feat1_4,feat1_5,feat1_6,feat1_7,feat1_8,feat1_9,feat2_0.3,feat2_0.4,feat2_0.5,feat2_0.6,feat2_0.7,feat2_0.8,feat2_0.9,feat3_eq_0,feat3_eq_1,feat3_eq_2,feat3_eq_3,feat3_eq_4,feat3_bd_0,feat3_bd_1,feat3_com_0,feat3_com_1,feat3_com_2,feat4_eq_0.3,feat4_eq_0.4,feat4_eq_0.5,feat4_eq_0.6,feat4_eq_0.7,feat4_eq_0.8,feat4_eq_0.9,feat4_bd_0.3,feat4_bd_0.4,feat4_bd_0.5,feat4_bd_0.6,feat4_bd_0.7,feat4_bd_0.8,feat4_bd_0.9,feat4_com_0.3,feat4_com_0.4,feat4_com_0.5,feat4_com_0.6,feat4_com_0.7,feat4_com_0.8,feat4_com_0.9,feat5_0,feat5_1,feat5_2,feat5_3,feat6_eq_max,feat6_eq_min,feat6_bd_max,feat6_bd_min,feat6_com_max,feat6_com_min
80,0.4091529146920932,0.3335035094679697,0.0688988612964673,0.0510311576618087,0.0324795442449079,0.0237874658674437,0.0193263710998894,0.0113539848050491,0.010491224376002,0.0075576100606415,1,1,2,2,2,3,6,0.7736960858407951,0.088420740306068,0.0448288700763231,0.0237010248177832,0.019576377837932,0.7955804260940382,0.1807047740310479,0.6507154218213288,0.1478535075985644,0.1063750375266098,1,1,1,1,1,2,3,1,1,1,1,1,2,2,1,1,1,1,2,3,3,0.7412197998013207,0.1031147680279352,0.0531159333370794,0.0281696187438194,0.0495024616399637,-0.0519033323142001,0.0114219858327818,-0.0069527112997783,0.0459245168871084,-0.0623544128626351
114,0.513906068831093,0.1901729567353756,0.1026492891602951,0.0790848521151213,0.0438817894423922,0.012825477838282,0.0089981165706129,0.008382849186008,0.0072806294227312,0.0064173614367005,1,1,1,2,2,3,5,0.8770613116307594,0.0306627303079103,0.0177837663713372,0.0168898266702092,0.014457961458008,0.9077414121548152,0.0832946228845998,0.429291154047896,0.2673476156908888,0.1925180188233174,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,3,3,4,0.8576994108294782,0.0351238222995935,0.021571623222295,0.0209604138176988,0.0433875081135913,-0.0446898207497144,0.0077083240908858,-0.0098863164709284,0.0479434429352178,-0.1020996766408317
68,0.3792003566962874,0.2108886856139832,0.1198854370705694,0.1034531224986997,0.0889749966781056,0.0196779380539965,0.0170673498400551,0.0145226679566822,0.0103467733948729,0.0080242644998226,1,2,2,3,3,4,5,0.44940000223015,0.293234599564403,0.0824812268793026,0.0538046670721812,0.0357879474360881,0.9594009083524772,0.0377859306829153,0.4362043511686347,0.2492570082630539,0.1460746565747554,1,1,2,2,2,3,5,1,1,1,1,1,1,1,1,1,2,2,3,3,4,0.395090903788915,0.3265771694242995,0.0927081274324602,0.062057662729531,0.0281615721742628,-0.0332598319124807,0.0045796945502727,-0.0063596519344881,0.0807323628732849,-0.0999924046074545
175,0.5713689083275855,0.1781033069347554,0.0770699104564786,0.0605183182571425,0.0414160310897423,0.0176810417272056,0.0114298734700236,0.0085603792184104,0.0076579821132245,0.0048733367216284,1,1,1,2,2,3,5,0.8240149008536137,0.0629640579191103,0.0390302304141287,0.025119502076563,0.0105441380513064,0.7457292595788972,0.2484080538832282,0.6709565696668905,0.1341531967260425,0.1008688775504781,1,1,1,1,1,1,3,1,1,1,1,1,2,2,1,1,1,1,2,2,3,0.8047214027155882,0.0722210206888904,0.0444068903213842,0.0292047224211911,0.0514394218309035,-0.0531519091894784,0.0076541922360154,-0.0104356635442527,0.0976625685626038,-0.0885739166860578
119,0.3688587492348506,0.2314974178196805,0.1601975125245104,0.0845733501814769,0.0601287938434654,0.0179445855896296,0.0171605385341557,0.0127070508245842,0.0101944756486465,0.0093188256989671,1,2,2,2,3,4,5,0.6862587307516602,0.1074949703478837,0.0594613887242216,0.0502940309345879,0.0301788434331295,0.964651209268104,0.0288063516763723,0.4902961934966552,0.2491702714182765,0.1151001388397901,1,1,1,1,2,3,4,1,1,1,1,1,1,1,1,1,2,2,2,3,4,0.6460310222149915,0.1271180420081115,0.0679165962730772,0.0570643679925547,0.0286896239506885,-0.0321573727904256,0.0093507736103442,-0.0105101731565576,0.0820396416181741,-0.1075634856249903
105,0.5115435928266865,0.1950279875895107,0.0918644101044348,0.0627070420170382,0.0524909362469384,0.0235847587360249,0.0128602289475106,0.0096687073864934,0.0065004502517074,0.0055435549055671,1,1,1,2,2,4,5,0.8179109051550264,0.0580263957719961,0.0333978844639447,0.0223277151592047,0.0155927101888889,0.9101455744225248,0.0769781848399135,0.5832523458585802,0.1984013387973981,0.1036428643556254,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,2,3,4,0.7919519294952219,0.0695662295589992,0.0400829094480069,0.0246537218158797,0.0424040888241173,-0.0487322225820934,0.0070626708712679,-0.0071845407141566,0.0704356468838547,-0.0594053122378921
168,0.5269502333244604,0.1701125027270545,0.1003135364347616,0.0581995787364886,0.038866372208962,0.0284313314459176,0.0259467647453762,0.0121128639290705,0.0084410889704755,0.0070552845615588,1,1,1,2,3,4,6,0.6887202253965564,0.1046129780962339,0.0884424722069639,0.0367857912791537,0.0223098426612431,0.8998649107330247,0.0940569346664984,0.6780199487426789,0.1408126650764267,0.0803603764340029,1,1,1,1,2,3,4,1,1,1,1,1,1,2,1,1,1,1,2,2,4,0.6567815084353286,0.1194413069949915,0.0979761350848862,0.0401435687501123,0.0314165766073742,-0.0422073404869463,0.0070188793880536,-0.0081825248915254,0.0800254330853189,-0.0907025267232167
34,0.3633997107621632,0.2110540935890354,0.1072157307367665,0.0878180654566074,0.0620554040422707,0.0372747009988511,0.0284432557137664,0.0235743470175015,0.0175891140539724,0.0115623997119617,1,2,2,3,4,5,8,0.6179744917221283,0.0966539389687158,0.0708440852278369,0.0564207924708956,0.0406872896538437,0.9263702639804384,0.069266416037381,0.5202468200965225,0.1555207252505328,0.1392981346200681,1,1,1,1,2,4,6,1,1,1,1,1,1,1,1,1,1,2,3,3,4,0.5783271345592146,0.1139979128936948,0.080745822263676,0.0654267305954908,0.033913529086285,-0.0313309919560726,0.0086471704354262,-0.0068983605121737,0.0561619015502095,-0.0622284713984092
192,0.3573723565257837,0.2058094527009258,0.1358326422150216,0.0754094958401012,0.0535561332458244,0.0438753928408368,0.0333110913113786,0.01964496601335,0.0148584871396219,0.0110761361359118,1,2,2,3,4,5,7,0.5004584931911447,0.1676402456049753,0.1081734651611987,0.0580518313716129,0.0484797514982308,0.841443417378201,0.1542722512991122,0.472366531093027,0.2844118510189468,0.1226256042249353,1,1,1,2,3,4,6,1,1,1,1,1,1,2,1,1,2,2,2,3,4,0.4449346545601095,0.1950869402671479,0.1257937129574863,0.0657942353397275,0.0280491990970846,-0.0291137348883177,0.0060552930421594,-0.0063025905503027,0.0499854174492694,-0.0553225566096208
0,0.4168160813221347,0.151964939053753,0.1453067470657615,0.0620518647758256,0.0535425640239023,0.0353241237482222,0.0236971255493735,0.0220327785036883,0.0169790091177372,0.0147837307737885,1,1,2,3,3,5,8,0.555482876587426,0.2028576392794644,0.0816121710525542,0.0503842638677675,0.0264511338706489,0.7746154992357378,0.2095259418208883,0.5828559353094652,0.1937610397033276,0.0819398548089047,1,1,1,2,2,3,5,1,1,1,1,1,2,2,1,1,1,2,2,3,4,0.5359146573486282,0.2099187914703589,0.0878866708412688,0.0548927518011448,0.1607687698945339,-0.084093857310854,0.0110892153825609,-0.0091383254964182,0.0644480684216667,-0.0848955114463309
